ccode,pcode,km
AND,LBR,4185
AND,LBY,1390
AND,LCA,6710
AND,LKA,8564
AND,LTU,2227
AND,LUX,869
AND,LVA,2296
AND,MAC,9548
AND,MAR,1249
AND,MDA,2246
AND,MDG,8258
AND,MDV,8240
AND,MEX,9412
AND,MKD,1599
AND,MLI,3423
AND,MLT,1344
AND,MMR,9184
AND,MNG,7633
AND,MOZ,8207
AND,MRT,3150
AND,MUS,9018
AND,MWI,7043
AND,MYS,10623
AND,NAM,7381
AND,NCL,17406
AND,NER,3229
AND,NGA,4018
AND,NIC,8919
AND,NLD,1130
AND,NOR,2022
AND,NPL,7539
AND,NZL,19469
AND,OMN,5626
AND,PAK,6263
AND,PAN,8611
AND,PER,9989
AND,PHL,11202
AND,PNG,15084
AND,POL,1841
AND,PRK,9379
AND,PRT,979
AND,PRY,9630
AND,PYF,16114
AND,QAT,4939
AND,ROM,2013
AND,RUS,2977
AND,RWA,5715
AND,SAU,4584
AND,SDN,4220
AND,SEN,3585
AND,SER,1553
AND,SGP,10939
AND,SLB,15971
AND,SLE,4045
AND,SLV,9044
AND,SOM,6260
AND,SUR,6890
AND,SVK,1397
AND,SVN,1133
AND,SWE,2208
AND,SWZ,8219
AND,SYC,7553
AND,SYR,3204
AND,TCD,3617
AND,TGO,4032
AND,THA,9745
AND,TJK,5627
AND,TKM,4706
AND,TON,17328
AND,TTO,7003
AND,TUN,997
AND,TUR,2629
AND,TWN,10346
AND,TZA,6656
AND,UGA,5626
AND,UKR,2362
AND,URY,10366
AND,USA,6390
AND,UZB,5488
AND,VEN,7433
AND,VNM,9567
AND,VUT,17048
AND,YDR,5075
AND,YEM,5075
AND,YUG,1553
AND,ZAF,8626
AND,ZAR,5364
AND,ZMB,6999
AND,ZWE,7362
ARE,ABW,12750
ARE,AFG,1823
ARE,AGO,5768
ARE,ALB,3705
ARE,AND,5227
ARE,ARE,
ARE,ARG,13521
ARE,ARM,1992
ARE,AUS,11967
ARE,AUT,4259
ARE,AZE,1838
ARE,BDI,4094
ARE,BEN,5850
ARE,BFA,6457
ARE,BGD,3669
ARE,BGR,3494
ARE,BHR,428
ARE,BHS,12461
ARE,BIH,3916
ARE,BLR,3976
ARE,BLX,5168
ARE,BLZ,13862
ARE,BMU,1363
ARE,BOL,14002
ARE,BRA,11897
ARE,BRN,6809
ARE,BTN,3549
ARE,BWA,6250
ARE,CAF,4468
ARE,CAN,10778
ARE,CHE,4779
ARE,CHL,14616
ARE,CHN,5984
ARE,CIV,6522
ARE,CMR,5154
ARE,COG,5289
ARE,COL,13697
ARE,CRI,13175
ARE,CSK,4480
ARE,CUB,12984
ARE,CYP,2349
ARE,CZE,4480
ARE,DDR,4652
ARE,DEU,4652
ARE,DJI,1836
ARE,DMA,11784
ARE,DNK,4861
ARE,DOM,12325
ARE,DZA,5047
ARE,ECU,14272
ARE,EGY,2373
ARE,ERI,1887
ARE,ESP,5612
ARE,EST,4540
ARE,ETH,2385
ARE,FIN,4583
ARE,FJI,14247
ARE,FRA,5258
ARE,GAB,5513
ARE,GBR,5483
ARE,GEO,2130
ARE,GER,4652
ARE,GHA,6181
ARE,GIN,7342
ARE,GMB,7490
ARE,GNB,7470
ARE,GRC,3289
ARE,GRD,12003
ARE,GTM,14271
ARE,GUF,11469
ARE,GUY,7286
ARE,HKG,6085
ARE,HND,14062
ARE,HRV,4172
ARE,HTI,12546
ARE,HUN,4030
ARE,IDN,6595
ARE,IND,2325
ARE,IRL,5926
ARE,IRN,1272
ARE,IRQ,1391
ARE,ISL,6921
ARE,ISR,2042
ARE,ITA,4314
ARE,JAM,12949
ARE,JOR,2007
ARE,JPN,8078
ARE,KAZ,2961
ARE,KEN,3423
ARE,KGZ,2790
ARE,KHM,5494
ARE,KNA,11785
ARE,KOR,6944
ARE,KWT,828
ARE,LAO,5038
ARE,LBN,2110
ARE,LBR,7177
ARE,LBY,4083
ARE,LCA,11822
ARE,LKA,3346
ARE,LTU,4142
ARE,LUX,5004
ARE,LVA,4371
ARE,MAC,6161
ARE,MAR,6011
ARE,MDA,3395
ARE,MDG,4827
ARE,MDV,3038
ARE,MEX,14404
ARE,MKD,3664
ARE,MLI,6652
ARE,MLT,4011
ARE,MMR,4439
ARE,MNG,5290
ARE,MOZ,6034
ARE,MRT,7245
ARE,MUS,4954
ARE,MWI,4784
ARE,MYS,5585
ARE,NAM,6569
ARE,NCL,13159
ARE,NER,5606
ARE,NGA,5794
ARE,NIC,14142
ARE,NLD,5199
ARE,NOR,5184
ARE,NPL,3113
ARE,NZL,14261
ARE,OMN,433
ARE,PAK,1295
ARE,PAN,13817
ARE,PER,14745
ARE,PHL,6999
ARE,PNG,10733
ARE,POL,4187
ARE,PRK,6778
ARE,PRT,6107
ARE,PRY,13214
ARE,PYF,17478
ARE,QAT,297
